GEOCODE,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat__Y_,Long__x_
"TRAVESSA ADILIA DE ALBUQUERQUE MORAES, 7,SAO PAULO, SAO PAULO - BRASIL","135277521060000238","135","277","521060","00","0238",IT,VCR,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","160","96",TRAVESSA ADILIA DE ALBUQUERQUE MORAES,"7","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2023","0","-23,667421","-46,6662733"
"RUA GERONIMO BARBOSA DA SILVA, 4,SAO PAULO, SAO PAULO - BRASIL","135277728080000093","135","277","728080","00","0093",IT,VCR,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","30","23",RUA GERONIMO BARBOSA DA SILVA,"4","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2023","0","-23,5151314","-46,4076767"
"RUA GERONIMO BARBOSA DA SILVA, 566,SAO PAULO, SAO PAULO - BRASIL","135277728080000351","135","277","728080","00","0351",IT,VCR,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","120","176",RUA GERONIMO BARBOSA DA SILVA,"566","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2023","0","-23,5184689","-46,4069216"
"TRAVESSA JARDIM DOS ARCANJOS, 114,SAO PAULO, SAO PAULO - BRASIL","135277521108000333","135","277","521108","00","0333",IT,VCR,"6",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","50","74",TRAVESSA JARDIM DOS ARCANJOS,"114","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2023","0","-23,5611743","-46,723468"
"TRAVESSA SEM DENOMINACAO, 31,SAO PAULO, SAO PAULO - BRASIL","135277532428000259","135","277","532428","00","0259",IT,VCR,"3",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","360","151",TRAVESSA SEM DENOMINACAO,"31","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2023","0","-23,4606759","-46,7814525"
"RUA ALEGRIA DO NORDESTE, 8,SAO PAULO, SAO PAULO - BRASIL","135277521078000225","135","277","521078","00","0225",IT,VCR,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","120","94",RUA ALEGRIA DO NORDESTE,"8","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2023","0","-23,519199","-46,4069406"
"RUA PLACIDO PARREIRA LIMA, 1222,SAO PAULO, SAO PAULO - BRASIL","135277604160000061","135","277","604160","00","0061",IT,VCR,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","200","130",RUA PLACIDO PARREIRA LIMA,"1222","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2023","0","-23,5172636","-46,4059466"
"TRAVESSA SEM DENOMINACAO, 147,SAO PAULO, SAO PAULO - BRASIL","135277533599000409","135","277","533599","00","0409",IT,VCR,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","150","154",TRAVESSA SEM DENOMINACAO,"147","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2023","0","-23,4097245","-46,8197049"
"TRAVESSA ADILIA DE ALBUQUERQUE MORAES, 5,SAO PAULO, SAO PAULO - BRASIL","135277521060000236","135","277","521060","00","0236",IT,VCR,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","40","99",TRAVESSA ADILIA DE ALBUQUERQUE MORAES,"5","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2023","0","-23,667421","-46,6662733"
"RUA PLACIDO PARREIRA LIMA, 948,SAO PAULO, SAO PAULO - BRASIL","135277604160000281","135","277","604160","00","0281",IT,VCR,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","360","257",RUA PLACIDO PARREIRA LIMA,"948","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2023","0","-23,5187919","-46,4079353"
