GEOCOD,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat__y_,Long__x_
"RUA CEL NEWTON BRAGA, 140,SAO PAULO, SAO PAULO - BRASIL","060072145254000164","060","072","145254","00","0164",PE,CNG,"1",S,S,ZEIS-3,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","113","70",RUA CEL NEWTON BRAGA,"140","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5117459","-46,5435385"
"RUA VOLUNTARIOS DA PATRIA, 3670,SAO PAULO, SAO PAULO - BRASIL","070172198846000651","070","172","198846","00","0651",ST,STN,"2",S,S,ZC,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","378","469",RUA VOLUNTARIOS DA PATRIA,"3670","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4878216","-46,6261824"
"RUA DOLORES RIBEIRO, 26,SAO PAULO, SAO PAULO - BRASIL","059266059803000085","059","266","059803","00","0085",PE,PEN,"1",S,S,ZC,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","129","89",RUA DOLORES RIBEIRO,"26","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2023","0","-23,52002","-46,5296057"
"RUA SIMAO BORGES, 480,SAO PAULO, SAO PAULO - BRASIL","065080182877000070","065","080","182877","00","0070",MG,VMR,"1",S,S,ZM,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","72","70",RUA SIMAO BORGES,"480","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5046272","-46,5935851"
"AVENIDA MORVAN DIAS DE FIGUEIREDO, 3177,SAO PAULO, SAO PAULO - BRASIL","064209142700000036","064","209","142700","00","0036",MG,VGL,"2",S,S,ZPI-1,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","104561",AVENIDA MORVAN DIAS DE FIGUEIREDO,"3177","2","0","0",,U,,,LOTE COM NUMERO APROXIMADO.,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5222011","-46,5992064"
"RUA FLORINDA BARBOSA, 53,SAO PAULO, SAO PAULO - BRASIL","067057072397000054","067","057","072397","00","0054",JT,JAC,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","114","100",RUA FLORINDA BARBOSA,"53","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4643956","-46,5882543"
"RUA GAL MIRANDA DA SILVA REIS, 39,SAO PAULO, SAO PAULO - BRASIL","076425140228000039","076","425","140228","00","0039",CV,LIM,"1",S,S,ZEU,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","80","83",RUA GAL MIRANDA DA SILVA REIS,"39","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,491661","-46,6838186"
"RUA CABO TORQUATO GONCANVEL DE ANDRADE, 90,SAO PAULO, SAO PAULO - BRASIL","070403041076000022","070","403","041076","00","0022",ST,MAN,"1",S,S,ZM,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","177",RUA CABO TORQUATO GONCANVEL DE ANDRADE,"90","1","0","0",,U,,,LOTE COM NUMERO APROXIMADO.,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4707678","-46,6288588"
"RUA ATALIBA VIEIRA, 555,SAO PAULO, SAO PAULO - BRASIL","068496024589000043","068","496","024589","00","0043",MG,VMD,"2",S,S,ZC,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","161","500",RUA ATALIBA VIEIRA,"555","2","0","0",,U,,,LOTE COM NUMERO APROXIMADO.,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4919019","-46,5818708"
"TRAVESSA VENTURA TORRES, 33,SAO PAULO, SAO PAULO - BRASIL","071517769932000102","071","517","769932","00","0102",ST,MAN,"1",S,S,ZM,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","70","70",TRAVESSA VENTURA TORRES,"33","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4792846","-46,6368851"
"RUA MANUEL OLIVEIRA BUENO, 321,SAO PAULO, SAO PAULO - BRASIL","061085126764000074","061","085","126764","00","0074",PE,PEN,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","204","141",RUA MANUEL OLIVEIRA BUENO,"321","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5280353","-46,5340442"
"RUA JULIO XAVIER JUNIOR, 234,SAO PAULO, SAO PAULO - BRASIL","067313113603000049","067","313","113603","00","0049",JT,JAC,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","141","138",RUA JULIO XAVIER JUNIOR,"234","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4734749","-46,5837554"
"PRACA TOKIO, 37,SAO PAULO, SAO PAULO - BRASIL","065046190330000214","065","046","190330","00","0214",MG,VMR,"1",S,S,ZM,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","152","110",PRACA TOKIO,"37","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5023683","-46,573625"
"RUA CONSELHEIRO MOREIRA DE BARROS, 3572,SAO PAULO, SAO PAULO - BRASIL","071104142425000141","071","104","142425","00","0141",ST,MAN,"1",S,S,ZC,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","175","126",RUA CONSELHEIRO MOREIRA DE BARROS,"3572","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4782658","-46,6506548"
"TRAVESSA VENTURA TORRES, 35,SAO PAULO, SAO PAULO - BRASIL","071517769932000103","071","517","769932","00","0103",ST,MAN,"1",S,S,ZM,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","70","70",TRAVESSA VENTURA TORRES,"35","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4791846","-46,6368404"
"PRACA CAMPINOPOLIS, 152,SAO PAULO, SAO PAULO - BRASIL","067181203580000045","067","181","203580","00","0045",ST,TUC,"3",S,S,ZM,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","1101","248",PRACA CAMPINOPOLIS,"152","2","0","0",,U,,,LOTE CANCELADO,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4778332","-46,5883477"
"RUA CAP AZEVEDO PINA, 171,SAO PAULO, SAO PAULO - BRASIL","067369026719000293","067","369","026719","00","0293",ST,TUC,"1",S,S,ZM,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","129","84",RUA CAP AZEVEDO PINA,"171","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4743159","-46,5869469"
"RUA AMEDEA CENTINI, 11,SAO PAULO, SAO PAULO - BRASIL","074389704237000003","074","389","704237","00","0003",CV,LIM,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","456","1338",RUA AMEDEA CENTINI,"11","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5106783","-46,6766558"
