GEOCOD,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat__y_,Long__x_
"RUA MAUA, 898,SAO PAULO, SAO PAULO,BRASIL","001023137332000886","001","023","137332","00","0886",SE,SEE,"1",S,S,ZC,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"18",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","7887","3025",RUA MAUA,"898","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5364995","-46,6314101"
"RUA ENG ANDRANDE JUNIOR, 355,SAO PAULO, SAO PAULO,BRASIL","029029012807000053","029","029","012807","00","0053",MO,BEL,"1",S,S,ZEU,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","87","70",RUA ENG ANDRANDE JUNIOR,"355","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5386949","-46,5835225"
"RUA ENG ANDRANDE JUNIOR, 345,SAO PAULO, SAO PAULO,BRASIL","029029012807000052","029","029","012807","00","0052",MO,BEL,"1",S,S,ZEU,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","84","70",RUA ENG ANDRANDE JUNIOR,"345","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5386038","-46,5836014"
"RUA RENATO RINALDI, 730,SAO PAULO, SAO PAULO,BRASIL","055072169900000249","055","072","169900","00","0249",AR,CAR,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","101","63",RUA RENATO RINALDI,"730","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5512519","-46,5396933"
"RUA RENATO RINALDI, 724,SAO PAULO, SAO PAULO,BRASIL","055072169900000250","055","072","169900","00","0250",AR,CAR,"2",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","99","80",RUA RENATO RINALDI,"724","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5512308","-46,5397405"
"RUA S CARLOS DO PINHAL, 152,SAO PAULO, SAO PAULO,BRASIL","009050043478000449","009","050","043478","00","0449",SE,BVI,"3",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","1289",RUA S CARLOS DO PINHAL,"152","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5654215","-46,6493226"
"RUA SALVADOR SIMOES, 616,SAO PAULO, SAO PAULO,BRASIL","043040176869000098","043","040","176869","00","0098",IP,IPI,"2",S,S,ZEU,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","3259",RUA SALVADOR SIMOES,"616","2","0","0",,U,,,LOTE COM ENDERECO APROXIMADO,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,599107","-46,61386"
"AVENIDA EUSEBIO MATOSO, 303,SAO PAULO, SAO PAULO,BRASIL","015074068195000689","015","074","068195","00","0689",PI,PIN,"2",S,S,ZM,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","15541",AVENIDA EUSEBIO MATOSO,"303","2","0","0",,U,,,LOTE COM ENDERECO APROXIMADO,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5715862","-46,6933448"
"AV MIRUNA, 300,SAO PAULO, SAO PAULO,BRASIL","045240140503000436","045","240","140503","00","0436",VM,MOE,"1",S,S,ZM,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","111",AVENIDA MIRUNA,"300","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,6129408","-46,6639896"
"RUA PERO NETO, 363,SAO PAULO, SAO PAULO,BRASIL","045143159573000116","045","143","159573","00","0116",VM,SAU,"1",S,S,ZEU,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","124","98",RUA PERO NETO,"363","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,6127754","-46,6407044"
