GEOCODE,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat__Y_,Long__X_
"RUA FIORAVANTE LOPES GARCIA, 437,SAO PAULO, SAO PAULO - BRASIL","111325071528000080","111","325","071528","00","0080",EM,ERM,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"2",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","162",RUA FIORAVANTE LOPES GARCIA,"437","1","0","0",,U,,,LOTE COM ENDERECO APROXIMADO.,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","0","-23,4926537","-46,483997"
"RUA FIORAVANTE LOPES GARCIA, 415,SAO PAULO, SAO PAULO - BRASIL","111325071528000079","111","325","071528","00","0079",EM,ERM,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"2",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","259","224",RUA FIORAVANTE LOPES GARCIA,"415","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","0","-23,4926665","-46,4841706"
"RUA FIORAVANTE LOPES GARCIA, 437,SAO PAULO, SAO PAULO - BRASIL","111325071528000081","111","325","071528","00","0081",EM,ERM,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"2",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","155",RUA FIORAVANTE LOPES GARCIA,"437","1","0","0",,U,,,LOTE COM ENDERECO APROXIMADO.,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","0","-23,4926537","-46,483997"
"AVENIDA PARANAGUA, 607,SAO PAULO, SAO PAULO - BRASIL","111549154679000049","111","549","154679","00","0049",EM,ERM,"3",S,S,ZM,"0",,L,"16402","2016",S,QA,"6",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","186",AVENIDA PARANAGUA,"607","0","0","0",,U,,,LOTE NAO ENCONTRADO.,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","0","-23,5006614","-46,4770933"
"RUA BEI, 39,SAO PAULO, SAO PAULO - BRASIL","111381272124010000","111","381","272124","01","0000",EM,ERM,"1",S,S,ZC,"0",,L,"16402","2016",S,QA,"2",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","224",RUA BEI,"39","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","1","-23,4961354","-46,478621"
"RUA TERRA BRANCA, 52,SAO PAULO, SAO PAULO - BRASIL","111448670820020000","111","448","670820","02","0000",EM,ERM,"1",S,S,ZC,"0",,L,"16402","2016",S,QA,"2",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","800",RUA TERRA BRANCA,"52","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","1","-23,4953121","-46,4714636"
"RUA TOME MONTEIRO DE FANA, 562,SAO PAULO, SAO PAULO - BRASIL","111360697524010000","111","360","697524","01","0000",EM,ERM,"2",S,S,ZEUP,"0",,L,"16402","2016",S,QA,"2",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","315",RUA TOME MONTEIRO DE FANA,"562","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","1","-23,5051268","-46,4795079"
"RUA SHOBEE KUMAGAI, 750,SAO PAULO, SAO PAULO - BRASIL","111452181579030000","111","452","181579","03","0000",EM,ERM,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"2",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","390",RUA SHOBEE KUMAGAI,"750","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","1","-23,4917073","-46,4732397"
"RUA SEBASTIAO MUNIZ, 33,SAO PAULO, SAO PAULO - BRASIL","111144302724020000","111","144","302724","02","0000",EM,PRA,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"6",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","250",RUA SEBASTIAO MUNIZ,"33","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","1","-23,5159989","-46,4817638"
"RUA ALTO ANGICO, 45,SAO PAULO, SAO PAULO - BRASIL","111529597538020000","111","529","597538","02","0000",EM,PRA,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"6",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","270",RUA ALTO ANGICO,"45","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","1","-23,5173207","-46,4998462"
